Serial_No,Constituency_ No.,Constituency_Name,Total_Electors,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percent_Valid_Votes,Percent_Total_Electors
13,213, VILATHIKULAM ,205465,P. Jeyakumar,MALE,50,SC,IND,Balloon,145,3,148,0.08,0.07
14,213, VILATHIKULAM ,205465,V. Ganesan,MALE,50,GENERAL,IND,Bat,87,1,88,0.05,0.04
16,213, VILATHIKULAM ,205465,A. Patturaj,MALE,43,SC,IND,T.V. Remote,68,3,71,0.04,0.03
1,214, THOOTHUKKUDI ,250803,Srinath,MALE,52,GENERAL,TVK,Whistle,99900,636,100536,49.11,40.09
2,214, THOOTHUKKUDI ,250803,P. Geetha Jeevan,FEMALE,55,GENERAL,DMK,Rising sun,62045,760,62805,30.68,25.04
3,214, THOOTHUKKUDI ,250803,Chellapandian S.t.,MALE,70,GENERAL,ADMK,Two leaves,25879,334,26213,12.8,10.45
7,214, THOOTHUKKUDI ,250803,Samuel J.,MALE,51,GENERAL,IND,Tea filter,338,4,342,0.17,0.14
9,214, THOOTHUKKUDI ,250803,Ponkumaran P.p.m.t,MALE,66,GENERAL,NNNMNEK,Mike,259,2,261,0.13,0.1
10,214, THOOTHUKKUDI ,250803,Srikanth M.v.,MALE,56,GENERAL,NIDP,Spanner,243,0,243,0.12,0.1
11,214, THOOTHUKKUDI ,250803,Kidar Samsdeen N.a.,MALE,56,GENERAL,tavk,Camera,170,2,172,0.08,0.07
13,214, THOOTHUKKUDI ,250803,Prasanna Kumar M.,MALE,34,GENERAL,MANAK,Ship,137,0,137,0.07,0.05
15,214, THOOTHUKKUDI ,250803,Muneeswara Moorthy S.,MALE,46,SC,IND,Diamond,103,1,104,0.05,0.04
16,214, THOOTHUKKUDI ,250803,Maruthu Pandian P.,MALE,36,GENERAL,IND,Jackfruit,85,0,85,0.04,0.03
1,215, TIRUCHENDUR ,233061,Anitha R. Radhakrishnan,MALE,73,GENERAL,DMK,Rising sun,71564,1159,72723,39.09,31.2
2,215, TIRUCHENDUR ,233061,J. Murugan,MALE,53,GENERAL,TVK,Whistle,66350,501,66851,35.93,28.68
3,215, TIRUCHENDUR ,233061,K R M Radhakrishnan,MALE,44,GENERAL,BJP,Lotus,33665,494,34159,18.36,14.66
4,215, TIRUCHENDUR ,233061,Ophiliya,FEMALE,33,GENERAL,NTK,Carrying,9676,118,9794,5.26,4.2
7,215, TIRUCHENDUR ,233061,Maharajan. M,MALE,37,GENERAL,PMTDK,Baby walker,320,1,321,0.17,0.14
8,215, TIRUCHENDUR ,233061,Rasik Mussammil. K,MALE,49,GENERAL,tavk,Camera,236,1,237,0.13,0.1
